time_s,frame_index,side,valid_mask,x,y,z,world_x,world_y,world_z,raw_speed,smoothed_speed,motion_source,motion_weight,boundary_x,boundary_y,interpolated_for_motion
6.26,313,left,True,0.6864035129547119,0.9741336107254028,-6.100459870594932e-08,-0.012625565752387047,0.07393912225961685,0.0396747924387455,,,,0.0,0.700146,0.847849,False
6.26,313,right,True,0.42971694469451904,0.6027731895446777,-2.3990244812921446e-07,-0.03434643894433975,0.04879222810268402,-0.019361305981874466,0.1093943,0.1154315,observed,1.0,0.461135,0.505254,False
6.38,319,left,True,0.6608448624610901,0.9262558817863464,-1.637933735310071e-07,-0.016227182000875473,0.0782940462231636,0.038978010416030884,0.3328755,0.1911912,observed,1.0,0.678878,0.785989,False
6.38,319,right,True,0.4086991250514984,0.6265549063682556,-2.0229686015227344e-07,-0.03767476603388786,0.054701801389455795,-0.015579869970679283,0.1293518,0.1136262,observed,1.0,0.440245,0.534435,False
6.5,325,left,True,0.6475611925125122,0.9239155650138855,-2.3726160236492433e-07,-0.01645093783736229,0.0724506601691246,0.030808832496404648,0.1025026,0.1691437,observed,1.0,0.666862,0.783322,False
6.5,325,right,True,0.4012446403503418,0.6307012438774109,-1.4533185321852216e-07,-0.047957152128219604,0.05904947593808174,-0.0076562222093343735,0.011556,0.1061708,observed,1.0,0.434089,0.545848,False
6.64,332,left,True,0.6531500220298767,0.9757921099662781,-2.7785975476035674e-07,-0.024867359548807144,0.07369711250066757,0.04158780351281166,0.149183,0.1714865,observed,1.0,0.679298,0.839009,False
6.64,332,right,True,0.4132041037082672,0.6166696548461914,-3.885422827920593e-08,-0.043952349573373795,0.06130330264568329,-0.013825247064232826,0.1145882,0.0899044,observed,1.0,0.443667,0.532812,False
6.76,338,left,True,0.6710605621337891,1.0377827882766724,-1.5951107457112812e-07,-0.0283819492906332,0.07615252584218979,0.03946543112397194,0.3022761,0.1961217,observed,1.0,0.698358,0.904594,False
6.76,338,right,True,0.4092850983142853,0.5883187055587769,-4.070987102977597e-09,-0.040697019547224045,0.05698434263467789,-0.02916225604712963,0.08269,0.081265,observed,1.0,0.43719,0.508713,False
6.88,344,left,False,,,,,,,,,,0.0,,,False
6.88,344,right,True,0.4057460129261017,0.5666190981864929,-3.4082457744943895e-08,-0.031999487429857254,0.033253878355026245,-0.028925033286213875,0.0547622,0.0781023,observed,1.0,0.430766,0.499953,False
7.0,350,left,False,,,,,,,,,,0.0,,,False
7.0,350,right,True,0.42188727855682373,0.5741565227508545,3.9202067370069926e-08,-0.018307404592633247,0.0532052107155323,-0.026915881782770157,0.0809465,0.073783,observed,1.0,0.435454,0.500654,False
7.14,357,left,False,,,,,,,,,,0.0,,,False
7.14,357,right,False,,,,,,,,,,0.0,,,False
7.26,363,left,False,,,,,,,,,,0.0,,,False
7.26,363,right,False,,,,,,,,,,0.0,,,False
7.38,369,left,False,,,,,,,,,,0.0,,,False
7.38,369,right,False,,,,,,,,,,0.0,,,False
7.5,375,left,False,,,,,,,,,,0.0,,,False
7.5,375,right,False,,,,,,,,,,0.0,,,False
7.64,382,left,False,,,,,,,,,,0.0,,,False
7.64,382,right,True,0.4782092869281769,0.5352803468704224,3.947057436448631e-08,-0.017044637352228165,0.04930094629526138,-0.015995843335986137,,,,0.0,0.492705,0.439889,False
7.76,388,left,True,0.6502481698989868,0.936919629573822,-2.915533343639254e-07,-0.031707361340522766,0.06770876795053482,0.02280137501657009,,,,0.0,0.681227,0.812768,False
7.76,388,right,True,0.5080316662788391,0.5418270826339722,1.1597943228025542e-07,-0.027418173849582672,0.058587510138750076,0.004747061058878899,0.0227457,0.119819,observed,1.0,0.52851,0.444798,False
7.88,394,left,True,0.6409745812416077,0.880054771900177,-1.8254181100019196e-07,-0.03477679193019867,0.06766966730356216,0.009488618932664394,0.3436898,0.2422638,observed,1.0,0.676021,0.762164,False
7.88,394,right,False,,,,,,,0.1588219,0.1384183,interpolated_for_motion,0.4,0.574523,0.493044,True
8.0,400,left,True,0.6384328007698059,0.8602299094200134,-2.892392672038113e-07,-0.03607304394245148,0.056736622005701065,0.006646990776062012,0.1482077,0.2283163,observed,1.0,0.680453,0.762007,False
8.0,400,right,True,0.600538969039917,0.6153782606124878,2.1639115743710136e-07,-0.022688571363687515,0.049988605082035065,-0.034197233617305756,0.1563688,0.151251,interpolated_for_motion,0.4,0.612831,0.537875,False
8.14,407,left,True,0.6837050914764404,0.8677240610122681,-2.5295281602666364e-07,-0.04855673760175705,0.06486163288354874,-0.040298476815223694,0.236422,0.2076706,observed,1.0,0.725761,0.753564,False
8.14,407,right,False,,,,,,,,,,0.0,,,False
8.26,413,left,False,,,,,,,,,,0.0,,,False
8.26,413,right,False,,,,,,,,,,0.0,,,False
8.38,419,left,False,,,,,,,,,,0.0,,,False
8.38,419,right,False,,,,,,,,,,0.0,,,False
8.5,425,left,False,,,,,,,,,,0.0,,,False
8.5,425,right,False,,,,,,,,,,0.0,,,False
8.64,432,left,False,,,,,,,,,,0.0,,,False
8.64,432,right,False,,,,,,,,,,0.0,,,False
8.76,438,left,False,,,,,,,,,,0.0,,,False
8.76,438,right,False,,,,,,,,,,0.0,,,False
8.88,444,left,False,,,,,,,,,,0.0,,,False
8.88,444,right,False,,,,,,,,,,0.0,,,False
9.0,450,left,False,,,,,,,,,,0.0,,,False
9.0,450,right,False,,,,,,,,,,0.0,,,False
9.14,457,left,False,,,,,,,,,,0.0,,,False
9.14,457,right,False,,,,,,,,,,0.0,,,False
9.26,463,left,False,,,,,,,,,,0.0,,,False
9.26,463,right,False,,,,,,,,,,0.0,,,False
9.38,469,left,False,,,,,,,,,,0.0,,,False
9.38,469,right,False,,,,,,,,,,0.0,,,False
9.5,475,left,False,,,,,,,,,,0.0,,,False
9.5,475,right,False,,,,,,,,,,0.0,,,False
9.64,482,left,False,,,,,,,,,,0.0,,,False
9.64,482,right,False,,,,,,,,,,0.0,,,False
9.76,488,left,False,,,,,,,,,,0.0,,,False
9.76,488,right,False,,,,,,,,,,0.0,,,False
9.88,494,left,False,,,,,,,,,,0.0,,,False
9.88,494,right,False,,,,,,,,,,0.0,,,False
10.0,500,left,True,0.6076709628105164,0.8441087603569031,3.6064605524188664e-08,-0.00034204311668872833,0.06999538093805313,0.021612048149108887,,,,0.0,0.607783,0.732865,False
10.0,500,right,False,,,,,,,,,,0.0,,,False
10.14,507,left,True,0.6149441003799438,0.791820228099823,5.937912384013089e-09,-0.004988143686205149,0.07200999557971954,-0.010098033584654331,0.2076014,0.1923444,observed,1.0,0.620258,0.669505,False
10.14,507,right,False,,,,,,,,,,0.0,,,False
10.26,513,left,True,0.6450494527816772,0.8073527812957764,-3.2479792366757465e-07,0.008551109582185745,0.07223521918058395,-0.01905491203069687,0.1770874,0.1923444,observed,1.0,0.636435,0.693284,False
10.26,513,right,False,,,,,,,,,,0.0,,,False
10.38,519,left,False,,,,,,,,,,0.0,,,False
10.38,519,right,False,,,,,,,,,,0.0,,,False
